,Batsman,Ground,Runs,4s,6s,No. of Matches Played,Average Strike Rate,Balls Faced
0,Devilliers,The Oval,40,4,0,3,47.33,63
1,Devilliers,Kimberley,124,12,3,2,126.5,98
2,Devilliers,Leeds,24,3,0,1,68.0,35
3,Devilliers,Lahore,155,15,3,3,85.33,167
4,Devilliers,Abu Dhabi,144,11,0,4,80.75,176
5,Devilliers,Dubai (DSC),139,6,0,4,62.0,203
6,Devilliers,Chennai,108,8,3,3,99.0,117
7,Devilliers,Pallekele,80,6,0,3,61.67,121
8,Devilliers,Auckland,151,15,7,3,152.0,108
9,Devilliers,Perth,188,16,1,3,102.0,188
10,Devilliers,Mohali,144,15,4,2,113.0,109
11,Devilliers,Napier,31,2,0,1,88.0,35
12,Devilliers,Birmingham,31,1,1,1,100.0,31
13,Devilliers,Southampton,28,1,0,1,96.0,29
14,Devilliers,Port of Spain,60,7,1,3,86.33,70
15,Devilliers,Mount Maunganui,126,14,1,2,126.0,110
16,Devilliers,Bulawayo,85,5,2,3,91.33,101
17,Devilliers,Multan,1,0,0,1,100.0,1
18,Devilliers,Gwalior,114,13,2,1,112.0,101
19,Devilliers,Canberra,76,7,3,2,209.0,43
20,Devilliers,Potchefstroom,136,8,5,2,110.5,115
21,Devilliers,Nottingham,80,10,0,2,57.0,104
22,Devilliers,Sharjah,119,10,3,2,72.5,114
23,Devilliers,Roseau,127,5,1,2,88.0,144
24,Devilliers,Durban,568,55,4,12,75.08,693
25,Devilliers,Delhi,107,8,2,1,101.0,105
26,Devilliers,Basseterre,154,23,4,3,89.33,117
27,Devilliers,Melbourne,121,9,0,2,90.5,126
28,Devilliers,Dhaka,144,13,1,3,85.33,189
29,Devilliers,Hamilton,58,5,1,2,79.0,73
30,Devilliers,North Sound,143,8,3,2,108.5,136
31,Devilliers,Harare,322,27,10,6,84.33,278
32,Devilliers,Hyderabad (Deccan),7,1,0,1,43.0,16
33,Devilliers,Nagpur,52,6,1,1,133.0,39
34,Devilliers,Cape Town,380,44,3,10,83.4,385
35,Devilliers,Centurion,593,59,11,17,78.65,671
36,Devilliers,Hambantota,108,11,4,1,152.0,71
37,Devilliers,Bloemfontein,156,13,0,5,91.6,170
38,Devilliers,Providence,15,1,0,3,12.67,47
39,Devilliers,Ahmedabad,156,14,3,2,116.5,147
40,Devilliers,Bangalore,8,2,0,2,140.0,7
41,Devilliers,Colombo (RPS),161,16,2,4,98.5,158
42,Devilliers,Jaipur,71,7,0,2,94.0,80
43,Devilliers,St George's,146,12,5,2,56.0,136
44,Devilliers,Benoni,309,21,11,4,123.75,288
45,Devilliers,Adelaide,82,6,1,1,96.0,85
46,Devilliers,East London,19,2,0,2,79.0,20
47,Devilliers,Wellington,205,9,8,2,110.0,188
48,Devilliers,Johannesburg,610,48,29,8,131.12,458
49,Devilliers,Lord's,53,2,0,2,62.5,80
50,Devilliers,Hobart,44,2,0,1,70.0,62
51,Devilliers,Cardiff,107,9,1,2,120.0,97
52,Devilliers,Faisalabad,17,2,0,1,60.0,28
53,Devilliers,Port Elizabeth,361,37,8,12,91.58,387
54,Devilliers,Sydney,167,18,8,2,185.0,70
55,Devilliers,Bridgetown,42,8,0,1,120.0,35
56,Devilliers,Gros Islet,15,3,0,1,44.0,34
57,Devilliers,Belfast,79,11,0,4,55.0,113
58,Devilliers,Paarl,59,8,0,2,108.5,48
59,Tendulkar,The Oval,272,39,0,6,50.0,528
60,Tendulkar,Colombo (PSS),186,19,0,5,51.8,380
61,Tendulkar,Leeds,193,19,3,1,58.0,330
62,Tendulkar,Lahore,51,6,0,3,50.0,107
63,Tendulkar,Chennai,970,107,10,16,57.62,1780
64,Tendulkar,Auckland,5,1,0,1,38.0,13
65,Tendulkar,Perth,226,32,0,6,57.0,364
66,Tendulkar,Kanpur,199,19,2,6,44.83,473
67,Tendulkar,Napier,201,21,2,3,52.0,462
68,Tendulkar,Mohali,767,98,0,18,49.17,1528
69,Tendulkar,Mumbai,921,125,9,19,54.37,1634
70,Tendulkar,Kolkata,872,130,3,21,49.71,1610
71,Tendulkar,Birmingham,187,31,1,4,51.0,286
72,Tendulkar,Port of Spain,205,23,0,3,27.33,497
73,Tendulkar,Bulawayo,110,16,0,2,65.0,177
74,Tendulkar,Rawalpindi,1,0,0,1,33.0,3
75,Tendulkar,Multan,194,21,0,1,55.0,348
76,Tendulkar,Chittagong,289,30,2,5,62.0,466
77,Tendulkar,Nottingham,541,83,1,8,52.5,970
78,Tendulkar,Christchurch,24,3,0,2,27.0,45
79,Tendulkar,Chandigarh,11,0,0,1,0.0,0
80,Tendulkar,Brisbane,23,4,0,3,22.0,70
81,Tendulkar,Durban,112,19,0,7,38.14,248
82,Tendulkar,St John's,0,0,0,1,0.0,1
83,Tendulkar,Mumbai (BS),53,6,0,1,51.0,103
84,Tendulkar,Delhi,759,110,2,19,54.05,1456
85,Tendulkar,Manchester,187,25,0,2,56.0,325
86,Tendulkar,Dhaka,531,57,2,4,59.75,828
87,Tendulkar,Hamilton,322,48,1,6,57.5,521
88,Tendulkar,Harare,130,14,1,5,38.8,266
89,Tendulkar,Hyderabad (Deccan),39,4,0,3,40.67,105
90,Tendulkar,Karachi,64,12,0,3,65.33,100
91,Tendulkar,Nagpur,970,120,2,15,50.07,1771
92,Tendulkar,Cape Town,489,64,3,7,37.86,1087
93,Tendulkar,Centurion,147,21,1,2,75.5,275
94,Tendulkar,Bloemfontein,170,25,1,2,63.0,219
95,Tendulkar,Ahmedabad,642,84,1,16,57.56,1281
96,Tendulkar,Bangalore,869,118,7,16,52.0,1579
97,Tendulkar,Colombo (RPS),143,20,0,1,57.0,247
98,Tendulkar,Galle,128,18,1,4,84.0,208
99,Tendulkar,Sialkot,92,11,0,2,55.0,185
100,Tendulkar,Adelaide,326,35,3,10,44.0,584
101,Tendulkar,Wellington,290,40,3,6,59.0,428
102,Tendulkar,Johannesburg,214,38,0,6,52.83,452
103,Tendulkar,Georgetown,162,22,0,2,46.5,367
104,Tendulkar,Lord's,195,30,0,9,41.33,478
105,Tendulkar,Faisalabad,81,8,0,3,42.0,221
106,Tendulkar,Sydney,785,95,1,9,68.33,1284
107,Tendulkar,Port Elizabeth,29,5,0,4,27.0,67
108,Tendulkar,Kingston,149,22,0,4,47.5,268
109,Tendulkar,Bridgetown,104,15,1,4,34.25,180
110,Tendulkar,Colombo (SSC),698,80,3,9,54.78,1235
111,Tendulkar,Melbourne,449,43,3,10,55.3,765
112,Tendulkar,Lucknow,142,22,0,1,63.0,224
113,Tendulkar,Cuttack,2,0,0,1,25.0,8
114,Ganguly,The Oval,145,21,1,3,63.67,229
115,Ganguly,Colombo (PSS),53,5,2,2,48.5,107
116,Ganguly,Leeds,128,14,3,1,76.0,167
117,Ganguly,Chennai,153,17,2,10,38.6,383
118,Ganguly,Kanpur,237,31,1,6,43.67,436
119,Ganguly,Perth,9,2,0,2,37.5,15
120,Ganguly,Mohali,372,40,3,7,52.0,751
