,Bowler,Ground,Overs,Balls Bowled,Wickets,No. of Matches Played,Average Economy,Runs
0,Kumble,Bangalore,335.4,2014,34,11,3.15,1006
1,Kumble,Chennai,209.3,1257,29,8,2.68,554
2,Kumble,Mohali,142.0,852,21,6,3.6,425
3,Kumble,Lucknow,64.3,387,11,2,2.0,128
4,Kumble,Ahmedabad,178.3,1071,14,7,2.47,439
5,Kumble,Kolkata,366.1,2197,32,12,2.44,869
6,Kumble,Delhi,373.3,2241,55,12,2.31,848
7,Kumble,Kanpur,110.0,660,15,4,2.07,232
8,Kumble,Mumbai,295.4,1774,34,12,2.37,699
9,Kumble,Nagpur,116.5,701,12,4,3.08,333
10,Ashwin,Pallekele,4.0,24,1,1,5.5,22
11,Ashwin,Chennai,3.0,18,0,1,11.33,34
12,Ashwin,Harare,8.0,48,2,2,8.75,70
13,Ashwin,Johannesburg,4.0,24,1,1,8.25,33
14,Ashwin,Ahmedabad,4.0,24,1,1,7.0,28
15,Ashwin,Cuttack,4.0,24,3,1,6.0,24
16,Ashwin,Kolkata,4.0,24,0,1,5.0,20
17,Ashwin,Pune,4.0,24,1,1,8.25,33
18,Ashwin,Rajkot,2.0,12,0,1,20.5,41
19,Ashwin,Durban,4.0,24,1,1,8.25,33
20,Ashwin,Melbourne,4.0,24,0,1,5.75,23
21,Ashwin,Dharamsala,4.0,24,1,1,6.5,26
22,Ashwin,Manchester,4.0,24,0,1,9.25,37
23,Ashwin,Colombo (RPS),15.5,95,5,4,6.02,95
24,Ashwin,Port of Spain,4.0,24,1,1,7.5,30
25,Ashwin,Dhaka,23.0,138,11,6,5.31,124
26,Ashwin,Sydney,4.0,24,1,1,8.5,34
27,Ashwin,Mumbai,4.0,24,0,1,9.5,38
28,Ashwin,Birmingham,4.0,24,0,1,9.25,37
29,Ashwin1,Pallekele,4.0,24,1,1,5.5,22
30,Ashwin1,Bangalore,4.0,24,2,1,5.0,20
31,Ashwin1,Adelaide,4.0,24,2,1,7.0,28
32,Ashwin1,Chennai,3.0,18,0,1,11.33,34
33,Ashwin1,Mohali,2.0,12,1,1,15.5,31
34,Ashwin1,Visakhapatnam,4.0,24,4,1,2.0,8
35,Ashwin1,Nagpur,4.0,24,1,1,8.0,32
36,Ashwin1,Harare,8.0,48,2,2,8.75,70
37,Ashwin1,Johannesburg,4.0,24,1,1,8.25,33
38,Ashwin1,Ahmedabad,4.0,24,1,1,7.0,28
39,Ashwin1,Cuttack,4.0,24,3,1,6.0,24
40,Ashwin1,Kolkata,7.0,42,0,2,4.5,32
41,Ashwin1,Pune,7.0,42,3,2,6.29,46
42,Ashwin1,Rajkot,2.0,12,0,1,20.5,41
43,Ashwin1,Durban,4.0,24,1,1,8.25,33
44,Ashwin1,Melbourne,8.0,48,1,2,6.25,50
45,Ashwin1,Dharamsala,4.0,24,1,1,6.5,26
46,Ashwin1,Manchester,4.0,24,0,1,9.25,37
